player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Draft,Draft Team,Draf Pick,Experience,NBA Debut
awtrede01,Dennis Awtrey,Center,Right,6-10,235,22,February,1948,Santa Clara,1970 NBA Draft,Philadelphia 76ers,"3rd round (12th pick, 46th overall)",,"October 14, 1970"
ayayijo01,Joel Ayayi,Shooting Guard,Right,6-4,180,5,March,2000,Gonzaga,,,,,"October 25, 2021"
aytonde01,Deandre Ayton,Center,Right,7-0,252,23,July,1998,Arizona,2018 NBA Draft,Phoenix Suns,"1st round (1st pick, 1st overall)",8.0,"October 17, 2018"
azubuud01,Udoka Azubuike,Center,Right,6-11,270,17,September,1999,Kansas,2020 NBA Draft,Utah Jazz,"1st round (27th pick, 27th overall)",4.0,"December 23, 2020"
bacondw01,Dwayne Bacon,Shooting Guard,Right,6-6,221,30,August,1995,Florida State,2017 NBA Draft,New Orleans Pelicans,"2nd round (10th pick, 40th overall)",,"October 18, 2017"
badjiib01,Ibou Badji,Center,Right,6-10,240,13,October,2002,,,,,1.0,"December 26, 2023"
baglema01,Marvin Bagley III,"Power Forward, Center",Left,6-10,235,14,March,1999,Duke,2018 NBA Draft,Sacramento Kings,"1st round (2nd pick, 2nd overall)",8.0,"October 17, 2018"
baglema02,Marcus Bagley,Small Forward,Right,6-8,215,23,October,2001,Arizona State,,,,1.0,"March 24, 2025"
baileac01,Ace Bailey,Small Forward,Right,6-9,200,13,August,2006,Rutgers University,2025 NBA Draft,Utah Jazz,"1st round (5th pick, 5th overall)",1.0,"October 22, 2025"
baileam01,Amari Bailey,Point Guard,Left,6-3,185,17,February,2004,UCLA,2023 NBA Draft,Charlotte Hornets,"2nd round (11th pick, 41st overall)",,"November 12, 2023"
bakerro01,Ron Baker,Shooting Guard,Right,6-4,220,30,March,1993,Wichita State,,,,,"October 25, 2016"
balad01,Adama-Alpha Bal,Shooting Guard,Right,6-7,190,18,December,2003,Arizona,,,,1.0,"March 28, 2026"
baldwpa01,Patrick Baldwin Jr.,Small Forward,Right,7-0,220,18,November,2002,UW-Milwaukee,2022 NBA Draft,Golden State Warriors,"1st round (28th pick, 28th overall)",4.0,"October 30, 2022"
baldwwa01,Wade Baldwin,Point Guard,Right,6-4,200,29,March,1996,Vanderbilt,2016 NBA Draft,Memphis Grizzlies,"1st round (17th pick, 17th overall)",,"October 26, 2016"
ballagr01,Greg Ballard,Small Forward,Right,6-7,215,29,January,1955,Oregon,1977 NBA Draft,Washington Bullets,"1st round (4th pick, 4th overall)",,"October 21, 1977"
ballla01,LaMelo Ball,Point Guard,Right,6-7,180,22,August,2001,,2020 NBA Draft,Charlotte Hornets,"1st round (3rd pick, 3rd overall)",6.0,"December 23, 2020"
balllo01,Lonzo Ball,Point Guard,Right,6-5,190,27,October,1997,UCLA,2017 NBA Draft,Los Angeles Lakers,"1st round (2nd pick, 2nd overall)",7.0,"October 19, 2017"
bambamo01,Mo Bamba,Center,Right,7-0,231,12,May,1998,Texas,2018 NBA Draft,Orlando Magic,"1st round (6th pick, 6th overall)",8.0,"October 17, 2018"
banchpa01,Paolo Banchero,Power Forward,Right,6-10,250,12,November,2002,Duke,2022 NBA Draft,Orlando Magic,"1st round (1st pick, 1st overall)",4.0,"October 19, 2022"
banede01,Desmond Bane,Shooting Guard,Right,6-6,215,25,June,1998,TCU,2020 NBA Draft,Boston Celtics,"1st round (30th pick, 30th overall)",6.0,"December 23, 2020"
bantoda01,Dalano Banton,Point Guard,Right,6-8,203,7,November,1999,Nebraska,2021 NBA Draft,Toronto Raptors,"2nd round (16th pick, 46th overall)",5.0,"October 20, 2021"
barbeca01,Cat Barber,Point Guard,Right,6-2,180,25,July,1994,NC State,,,,,"December 25, 2021"
barbole01,Leandro Barbosa,"Shooting Guard, Point Guard",Right,6-3,194,28,November,1982,,2003 NBA Draft,San Antonio Spurs,"1st round (28th pick, 28th overall)",,"November 12, 2003"
bareajo01,J.J. Barea,"Point Guard, Shooting Guard",Right,5-10,180,26,June,1984,Northeastern University,,,,,"November 4, 2006"
barlodo01,Dominick Barlow,"Power Forward, Small Forward",Right,6-9,215,26,May,2003,,,,,4.0,"November 2, 2022"
barnedi01,Dick Barnett,Shooting Guard,Left,6-4,190,2,October,1936,Tennessee State,1959 NBA Draft,Syracuse Nationals,"1st round (5th pick, 5th overall)",,"December 1, 1959"
